feature;Variance;rMID_per_Score;FScore;Lasso_importance;Correlation
scE_706;0.032601978648975835;0.09828719817982101;168.19654095748697;0.0;0.519512513624814
scE_714.5;0.03274249862521436;0.09170780781231436;167.12260840753123;0.0;0.51829809259498
scE_723;0.032869710023084954;0.08688136899942966;166.12297115192172;0.0;0.5171613368246201
scE_731.5;0.0329858852262982;0.09462690051137157;165.1861890856657;0.0;0.5160904486610766
scE_740;0.03309601326157795;0.09695527507884671;164.27725962001475;0.0;0.5150461658069398
scE_748.5;0.03320397893998128;0.10081207257752967;163.35795017200468;0.0;0.5139846666560146
scE_757;0.033310768332171115;0.10757035467965892;162.39407742574207;0.0;0.5128659466036259
scE_765.5;0.03341244990539236;0.12835490238079172;161.34984923744432;0.0;0.5116472390473691
scE_774;0.033532848143959335;0.14248520236367934;160.17831825435462;0.0;0.510271549375209
scE_782.5;0.03368193387242617;0.14601758903608042;158.86821829126282;0.0;0.5087224901673968
scE_791;0.03385103353331054;0.15041899064529174;157.41218471696345;0.0;0.5069875117177923
scE_799.5;0.03404007385106669;0.12593187655790627;155.80105520067968;0.0;0.5050510845210622
scE_808;0.03423995359143863;0.125954135770447;154.04873402386298;0.0;0.5029247913495104
scE_816.5;0.034469221945817106;0.12746157555624782;152.14983844851943;0.0;0.5005964965887767
scE_825;0.03457177431752617;0.13294816567246093;150.12471481700948;0.0;0.498085217006608
scE_833.5;0.034024158499105346;0.14376470430016264;147.97675511240672;0.0;0.49538912063580726
scE_842;0.03348638924149616;0.15604011363924153;145.72906793399326;0.0;0.49253122663166826
scE_850.5;0.03295773363551427;0.16660966640748365;143.40704524829388;0.0;0.48953854742974817
scE_859;0.032338127068500186;0.18178941779142788;141.04030027069916;0.0;0.4864450624361877
scE_867.5;0.0317006920621719;0.17831941088090497;138.6566264301079;0.0;0.483284264358334
scE_876;0.031086544894812246;0.1762688784072668;136.28369104821414;0.0;0.4800914741447189
scE_884.5;0.030497222982125306;0.1778898818438024;133.947683879824;0.0;0.47690211135909577
scE_893;0.029930326316119124;0.1822214099357926;131.65589630775455;0.0;0.4737273262125699
scE_901.5;0.029385644092310967;0.17964237553028495;129.4234973872539;0.0;0.47059004018731104
scE_910;0.0288681492131088;0.17048469596084725;127.26446681393922;0.0;0.4675127261658178
scE_918.5;0.02837540639682659;0.15902809608381707;125.16452217284692;0.0;0.46447788301156995
scE_927;0.027902905682167977;0.13458222612789683;123.11024423870793;0.0;0.4614681839438804
scE_935.5;0.027445565049509447;0.12630114283280847;121.09202805675977;0.0;0.4584709720628806
scE_944;0.02699995496802876;0.11588203582260537;119.11287929212298;0.0;0.45549196112158935
scE_952.5;0.026577138177888645;0.11241508393986521;117.05502598185441;0.0;0.45235159923511387
scE_961;0.02617110252248015;0.10459932747952783;115.03478432151213;0.0;0.44922499488688117
scE_969.5;0.02578429343884514;0.11489403109092855;113.15452800348388;0.0;0.44627517873711164
scE_978;0.025313908128472097;0.11120300288007634;111.25339011859018;0.0;0.4432525260601523
scE_986.5;0.0248371476886305;0.10864800690631427;109.31493692490366;0.0;0.44012798279993337
scE_995;0.02438560642483359;0.10425255411588141;107.37163359862758;0.0;0.4369513415943901
scE_1003.5;0.023958843740305907;0.10886116197793072;105.4357204996969;0.0;0.43374150396112593
scE_1012;0.023556531952151138;0.10800175422229863;103.5208197238956;0.0;0.4305208288930901
scE_1020.5;0.02317815361947825;0.10137833821692999;101.63913587793355;0.0;0.42731054808963187
scE_1029;0.022822169741928945;0.09304452089145032;99.80043310414676;0.0;0.42412885228016506
scE_1037.5;0.02248834163318583;0.08350914597340608;98.01454585270405;0.0;0.42099504919894054
scE_1046;0.022175099504410437;0.07849126225832448;96.28547337852508;0.0;0.4179189947004981
